Comment,Designator,Footprint,LCSC
22n 100V,C7,C_0402_1005Metric,C1532
2.2n 50V,"C2,C20",C_0603_1608Metric,C1604
470n 25V,"C13,C14,C16,C18,C9",C_0603_1608Metric,C1623
0R,R15,R_0402_1005Metric,C17168
5.1R 1%,"R1,R19,R2,R20,R24,R25,R6,R7",R_0805_2012Metric,C17724
2.2R,R14,R_0603_1608Metric,C22939
2.2u 16V,C11,C_0603_1608Metric,C23630
33,R13,R_0402_1005Metric,C25105
47R 1%,"R21,R22,R3,R4",R_0402_1005Metric,C25118
10k 1%,"R10,R11,R12,R9",R_0402_1005Metric,C25744
100n 100V,"C10,C15,C17,C24,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
Conn_01x14,"J1,J2",PinHeader_1x14_P2.54mm_Vertical,C2894937
100n 50V,"C21,C3,C8",C_0402_1005Metric,C307331
AO4264E,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",SOIC-8_3.9x4.9mm_P1.27mm,C334232
1n 500V,"C1,C19,C22,C4",C_1206_3216Metric,C35216
4.7uF 100V,"C23,C5",C_1210_3225Metric,C385986
TMC2160A-TA-T,U1,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,C465948
2.2u 50V,C12,C_0805_2012Metric,C49217
30mR 2W,"R23,R5",R_2512_6332Metric,C493478
MountingHole,H2,MountingHole_3.2mm_M3,
0R DNI,R18,R_0805_2012Metric,
0R DNI,R17,R_0402_1005Metric,
MountingHole,H1,MountingHole_3.2mm_M3,
0R DNI,R16,R_0402_1005Metric,
